"SITEID_07","ECO3","ln_phyDen","ln_phySR","ln_phySRr","ln_zpDen","ln_zpSR","ln_zpSRr","ln_NTL","ln_PTL","Lat","ln_DOC","ln_Silica","pH","ln_Temp","ln_Sol","ln_Cond","WOmni","WOmni2","Omni","Omni2","WOmni_n","WOmni2_n","Omni_n","Omni2_n"
"NLA06608-0001",41,-1.50532958949501,-0.413667219781573,-0.317805620830428,-4.38221651668196,-4.89535457752441,-3.52695647144126,-1.31992337690838,-1.00054745314735,1.66096808144905,-2.61357635087091,-1.00224599436823,-0.501296391566865,-1.11493643886,-0.143204250769679,-0.617460391348912,-0.932050102331088,-0.549206255073559,-1.80358126827463,1.12012053640872,0,0,0,0
"NLA06608-0002",63,0.751841901529307,1.60694992158612,1.44946443872847,-1.52677675225005,1.67084316145659,2.1702780087413,0.127990762531912,0.139249897637974,-1.5104419201424,1.09832824245121,-0.73143302385184,-2.5772795242708,0.270823411012954,-0.101567000958974,-1.18779572268747,0.202241876861436,-0.170896405433361,0.802489037559342,-0.176494822249231,0.261648745519713,0.0684600660320397,0.391304347826087,0.153119092627599
"NLA06608-0003",34,1.78442706900743,0.352484790406853,0.401971974385424,-1.10097950020757,0.336183216225558,0.658724709429719,0.184927307007698,0.252278760371943,-2.50273000971412,0.0828996843083867,1.73608641153582,0.602390843541559,1.32142038988855,-1.1927423793122,1.19090380607518,2.97712117824341,3.94411350363521,3.9049536873617,7.08193745832532,0.901734104046243,0.81312439440008,0.857142857142857,0.73469387755102
"NLA06608-0004",21,1.13271909593396,1.15423428874428,0.872711740171989,0.310252484319765,1.15719524595381,0.453358306482892,-0.539016639050741,-0.301683907191821,-0.63905199292802,0.427087083168804,-0.364338015706287,0.313329901013162,-0.0563483578786173,1.76979104057532,0.237955452125956,-0.234168042286835,-0.405999997566886,2.75323172262805,3.27080119270831,0.16098144823459,0.025915026675706,0.684210526315789,0.46814404432133
"NLA06608-0005",16,-0.161340069823328,1.46623673133592,1.35250834052082,-0.760799055103024,0.336183216225558,-0.0949709667024067,-1.86492232990415,-1.25847719427308,0.656446673151627,-1.61624525347439,0.238729305135649,-0.343626786551376,-0.091241091420139,1.32512159782791,-1.06785599091457,-0.807189194641108,-0.544622188649842,0.574974963240503,-0.332248915335132,0.0288018433179724,0.000829546178513028,0.357142857142857,0.127551020408163
"NLA06608-0006",59,0.58925129066459,1.15423428874428,1.00147366419853,1.68523191852706,0.695179507758544,0.98696433090236,-1.13245920687819,-0.902487116642156,0.209654833465313,-0.684227150657393,-0.444913213246462,-1.25022701539044,-2.22698771620619,-0.0595154717222569,-0.806250943240518,-0.593951866326194,-0.515595076887342,-0.138591906214038,-0.487007055193341,0.0779896013864818,0.00608237792442232,0.25,0.0625
"NLA06608-0007",51,0.0261072619616481,0.0956827067453098,-0.00599024297466863,1.20095942776114,2.00045688074313,1.96232808660345,-0.197705004862344,-0.817543389443283,0.984953989537768,0.211345120102566,-2.92857342504028,-2.55100125676822,-2.15364246353864,-0.637352807979682,-1.57501491529141,-0.63265985958274,-0.522850636645993,0.245636408107638,-0.466565935842853,0.069060773480663,0.00476939043374744,0.307692307692308,0.0946745562130178
"NLA06608-0008",47,-0.0855830522764633,0.653693657903882,0.579828336116083,0.170266517201403,1.29509617025121,1.6309724405592,0.262620529214301,0.524832893006893,0.131869282912306,0.365718971406499,-0.127098985330536,0.61552997729285,0.571108567918434,-0.0998933080064976,0.057524419656391,0.71626755413995,0.249670432435378,1.19339958343444,0.211266628806397,0.38021978021978,0.144567081270378,0.45,0.2025
"NLA06608-0010",56,0.518206093890067,1.46623673133592,1.43244066784326,-0.597792660004473,2.3851804365492,1.59365963400896,-0.236983367508357,-0.675594409682991,0.395663819242309,-0.149676548723518,-0.270403002586789,0.957147454826409,-0.493128943202349,-0.0561798439902542,0.806316223419402,0.315333924153634,-0.0916986863513519,1.30439887423848,0.349060068042974,0.287735849056604,0.0827919188323247,0.466666666666667,0.217777777777778
"NLA06608-0012",27,0.622354149483749,0.431777081940147,0.453622069649183,-0.180887675741846,1.78526377405654,1.67443455221349,0.497417541218512,1.08415250181582,-0.922681660645985,0.428581669092689,0.617017554671519,-0.488157257815575,0.890962815763891,-0.973532407863795,-0.00311224765674384,-0.560172943465384,-0.508543487408445,2.08139390986676,1.65652353284641,0.0857814336075206,0.00735845435176146,0.583333333333333,0.340277777777778
